SEX,PAY
Men,25000
Men,25000
Men,25000
Women,25000
Women,25000
Men,25000
Women,25000
Men,25000
Men,25000
Men,25000
Men,25000
Men,25000
Men,25000
Men,25000
Men,25000
Men,25000
Men,25000
Women,25000
Men,25000
Men,25000
Men,25000
Women,25000
Men,25000
Men,25000
Women,25038
Men,25078
Men,25100
Men,25100
Women,25200
Men,25200
Women,25250
Women,25300
Men,25350
Women,25500
Men,25500
Women,25500
Women,25500
Men,25500
Men,25500
Men,25500
Men,25500
Men,25500
Men,25500
Men,25500
Men,25630
Men,25700
Men,25750
Men,25779
Women,25780
Men,26000
Men,26000
Men,26000
Men,26000
Women,26000
Women,26000
Men,26000
Men,26000
Women,26000
Men,26000
Men,26000
Men,26000
Men,26000
Women,26000
Men,26000
Men,26000
Women,26000
Women,26000
Men,26000
Men,26000
Men,26000
Men,26000
Men,26000
Women,26000
Men,26000
Men,26000
Men,26000
Men,26000
Women,26000
Men,26000
Women,26000
Women,26000
Women,26000
Women,26000
Women,26000
Women,26000
Men,26000
Men,26000
Men,26000
Women,26000
Women,26000
Women,26000
Men,26000
Men,26000
Men,26000
Men,26000
Men,26000
Men,26000
Women,26000
Men,26000
Women,26000
Men,26000
Men,26000
Men,26000
Women,26000
Men,26000
Women,26000
Women,26000
Men,26000
Women,26000
Men,26000
Men,26000
Women,26000
Men,26000
Men,26000
Women,26000
Men,26000
Women,26000
Women,26000
Men,26000
Men,26000
